workerid,proliferate.condition,time_in_minutes,error
254,main,5.8544833333333335,NA
98,main,5.511416666666666,NA
273,main,2.76465,NA
361,main,5.392233333333333,NA
221,main,14.347866666666668,NA
410,main,5.669366666666667,NA
208,main,11.290766666666666,NA
111,main,4.058783333333333,NA
205,main,6.387883333333333,NA
239,main,7.611933333333333,NA
187,main,8.837133333333334,NA
76,main,6.818416666666667,NA
196,main,4.974716666666667,NA
79,main,7.272166666666666,NA
234,main,4.691033333333333,NA
367,main,4.16195,NA
398,main,14.471983333333334,NA
194,main,5.361266666666666,NA
357,main,4.1311333333333335,NA
83,main,6.211783333333333,NA
229,main,5.2755,NA
105,main,6.72545,NA
156,main,2.5084333333333335,NA
331,main,2.779516666666667,NA
393,main,4.923333333333333,NA
93,main,4.046783333333333,NA
271,main,9.333933333333333,NA
296,main,2.7275833333333335,NA
362,main,12.21155,NA
340,main,4.07925,NA
365,main,4.609283333333333,NA
308,main,7.657516666666667,NA
345,main,2.7147166666666664,NA
195,main,7.432616666666667,NA
155,main,2.88845,NA
262,main,7.374983333333334,NA
389,main,6.689,NA
209,main,5.705616666666667,NA
235,main,3.74225,NA
415,main,3.2880166666666666,NA
374,main,5.577833333333333,NA
99,main,7.777266666666667,NA
252,main,6.69395,NA
167,main,3.6465,NA
344,main,7.717533333333333,NA
305,main,7.321266666666666,NA
358,main,4.19955,NA
269,main,4.576083333333333,NA
154,main,4.64425,NA
319,main,11.939783333333333,NA
237,main,6.968583333333333,NA
329,main,5.441133333333333,NA
222,main,4.667,NA
225,main,4.5566,NA
280,main,8.479816666666666,NA
174,main,3.9565,NA
263,main,5.5922833333333335,NA
293,main,3.868916666666667,NA
71,main,6.97785,NA
214,main,4.3197,NA
395,main,5.090216666666667,NA
68,main,6.193433333333333,NA
411,main,13.02665,NA
369,main,6.628383333333334,NA
192,main,3.77585,NA
274,main,4.79135,NA
409,main,9.8038,NA
427,main,2.9289666666666667,NA
250,main,4.871216666666666,NA
184,main,8.870016666666666,NA
429,main,3.92515,NA
202,main,5.787133333333333,NA
88,main,3.8426,NA
243,main,10.178366666666667,NA
392,main,4.344783333333333,NA
82,main,8.798883333333333,NA
424,main,3.2455,NA
180,main,6.924833333333333,NA
172,main,2.44705,NA
406,main,7.862816666666666,NA
310,main,7.44885,NA
191,main,5.550916666666667,NA
421,main,7.133933333333333,NA
165,main,9.545933333333334,NA
287,main,3.59965,NA
259,main,5.95695,NA
197,main,3.0382833333333332,NA
347,main,4.0418666666666665,NA
117,main,6.60745,NA
325,main,5.0051,NA
289,main,5.4084666666666665,NA
134,main,2.49795,NA
412,main,7.8367000000000004,NA
44,main,11.584466666666666,NA
103,main,3.72595,NA
227,main,6.060566666666666,NA
257,main,6.7795,NA
145,main,6.403,NA
224,main,3.7767666666666666,NA
64,main,8.0139,NA
178,main,9.632966666666666,NA
55,main,4.0708,NA
344,main,4.479683333333333,NA
339,main,4.580933333333333,NA
92,main,7.50025,NA
376,main,6.165033333333334,NA
333,main,3.137166666666667,NA
431,main,7.1051,NA
151,main,6.5991333333333335,NA
173,main,7.716466666666666,NA
377,main,8.912683333333334,NA
113,main,4.035833333333334,NA
335,main,5.8102833333333335,NA
359,main,6.690766666666667,NA
95,main,6.67885,NA
102,main,4.6347,NA
142,main,4.68405,NA
360,main,7.6654,NA
245,main,3.7673833333333335,NA
363,main,2.6690833333333335,NA
186,main,6.456566666666666,NA
336,main,5.730366666666667,NA
286,main,3.4305333333333334,NA
58,main,6.67835,NA
264,main,7.399483333333333,NA
97,main,2.74775,NA
404,main,6.483533333333333,NA
53,main,3.687683333333333,NA
143,main,5.6117333333333335,NA
370,main,5.499583333333334,NA
399,main,3.6683500000000002,NA
282,main,1.5547833333333334,NA
396,main,3.932516666666667,NA
75,main,6.220133333333333,NA
322,main,6.692266666666667,NA
426,main,5.243916666666666,NA
356,main,4.20785,NA
57,main,11.426933333333332,NA
373,main,3.23635,NA
183,main,3.6862666666666666,NA
244,main,6.109933333333333,NA
413,main,5.250533333333333,NA
309,main,2.5897666666666668,NA
108,main,4.1885,NA
432,main,6.539583333333334,NA
66,main,6.146766666666666,NA
107,main,7.89995,NA
216,main,8.221283333333334,NA
150,main,9.604883333333332,NA
316,main,10.356516666666666,NA
387,main,3.95035,NA
86,main,6.153816666666667,NA
284,main,7.146583333333333,NA
121,main,4.628183333333333,NA
114,main,3.80075,NA
268,main,3.9977833333333335,NA
212,main,11.256283333333334,NA
164,main,9.349933333333333,NA
100,main,5.18185,NA
241,main,3.570233333333334,NA
48,main,5.862316666666667,NA
233,main,7.0391,NA
